Timestamp,Course:,Branch (if any):,Currently staying at:,Do you have interest in outdoor games?,How much time you dedicate for your games?,How much time you dedicate for your studies?,Do you like coding?,Are you certified in any of the given language?,Preferable websites for doing extra courses :,How much time you dedicate for improving your coding skills?,"Do you participate in competitive exams such as hackathons, idea generation, codechef?",Are you satisfied with your course curriculum ?,Are you satisfied with lab work/ lab assignment?,How frequently you visit to library?,How long do you study in library reading room?,How many books do you refer while studying a single topic?,Do you find the genre of books in library and their quality sufficient?,What medium of study you prefer for regular studies?,Should mini project labs start from 2nd year?,Have you completed any project on data analytics?,Are technical classes beneficial for you?,Give ratings to your technical classes.,Are aptitude classes beneficial for you?,Give ratings to your aptitude classes.,What combination of theory and lab credits would you prefer?,What do you expect from a teacher?,Would you prefer theory and Practical day separated?,What style of teaching do you prefer?,Would you prefer to go in classroom with laptops?,What do you want to become?,Would you like an amendment in the University policy of 1 student 1 job?,Should there be a trial class for a new joining(teacher) so that students can take a call on the teacher?,Duration of trial class should be?,Should there be night classes as an option so that if you wish you can join the night batch?,What outlook of the University do you get from its current scenario and ongoing proceedings?,Should there be courses introduced in University which provide earning while learning?,"Overall, how happy are you with your academic experience and university life?"
2018/03/16 4:25:50 PM GMT+5:30,B.Tech,Civil engineering,Hostel,Yes,I don't find any companion for the game i like.,3 hr,No,C/C++,Sanfoundary,I don't like coding. So i don't give time to it,No,I think the course is very basic as per GATE perspective,Labs in civil engineering are just a formality,Weekly,I prefer studing in my room itself.,Most of the times only one,4,Internet,Yes,No,We don't have technical classes for civil engineering students,1,Yes,4,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Is this for computer science engineering students only?,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,School type learning,Yes,2
2018/03/16 4:26:30 PM GMT+5:30,B.Tech,ece,Home(with parents),Yes,1 hr,0,Yes,not yet.. but i will,no one,not regularly...,No,No,Yes,Weekly,Less than an hour,Most of the times only one,2,Books at Home,No,No,Yes,4,Yes,4,2 theory 3 lab,More practical less theory,No,Blackboard,Yes,developer or  tester,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,"1,2,3 options are correct ",Yes,3
2018/03/16 4:26:33 PM GMT+5:30,MBA,,Hostel,No,1 hr,1 hr,No,No,Datacamp,No,No,Yes,Yes,Weekly,Less than an hour,Most of the times only one,3,Books at Home,No,Yes,Yes,3,Yes,5,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Manager,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,School type learning,Yes,1
2018/03/16 4:26:55 PM GMT+5:30,B.Tech,cse,Hostel,Yes,1 hr,2 hr,Yes,C/C++,Udemy,1 hr,No,Yes,Yes,Weekly,Less than an hour,Most of the times only one,3,Internet,Yes,No,Yes,2,Yes,3,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,Passionate for placement,Yes,3
2018/03/16 4:30:03 PM GMT+5:30,Bsc,Biotechnology,Home(with parents),Yes,1 hr,More than 3 hr,No,Python,Biotechnika,30min,Yes,Yes,Yes,Daily,More than 2 hours,Most of the times only one,4,Books at Home,Yes,Yes,Yes,3,Yes,5,2 theory 3 lab,More practical less theory,No,Ppt,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/16 4:30:19 PM GMT+5:30,B.Tech,ME,Home(with parents),Yes,2 hr,2 hr,Yes,No,Udemy,Not daily basis,No,No,No,Daily,Less than an hour,At least two,3,Books at Home,Yes,No,Yes,3,Yes,4,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,No,Defence officer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/16 4:30:26 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,1 hr,2 hr,Yes,No,Unacademy,4 hours a week,No,No,No,2-3 times a week,Never,"It depends upon my understanding. If i donot understand a topic from one book, i prefer more also.",2,"Books, notes of class, internet. Everything is important.",Yes,No,Yes,4,Yes,5,4 theory 3 lab. ,More practical less theory,Yes,Ppt +blackboard,Yes,I would prefer working in an EC core company.,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/16 4:31:49 PM GMT+5:30,B.Tech,ME,Hostel,No,1 hr,2 hr,No,None,None,None,No,Yes,Yes,Never,Never,Most of the times only one,3,Books at Home,Yes,No,Yes,4,Yes,5,4 theory 1 lab,Balanced theory and practical,Yes,Ppt,Yes,IES,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,4
2018/03/16 4:36:42 PM GMT+5:30,B.Tech,Cse,Hostel,No,0,0,Yes,No certificate,Youtube,0,No,No,No,Ocassionally,More than 2 hours,At least two,1,Notes of class,Yes,No,No,1,Yes,4,1 theory 4 lab,More practical less theory,No,Blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 8 hours (two weeks),Yes,Passionate for admission,Yes,1
2018/03/16 4:36:49 PM GMT+5:30,MBA,,Hostel,Yes,2-3 hr occasionaly,Only During the classes 6 hr,Yes,No,"Wikipedia, youtube, slide share etc",1 hr,No,No,No,Weekly,2 hours,Depend upon the topic,2,Internet,Yes,No,Not required,3,No,3,Not required,Nothing but practical,Yes,Ppt,Yes,System/ Database Admin,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,School type learning,Yes,2
2018/03/16 4:40:24 PM GMT+5:30,B.Tech,Mechanical,Rented room,Yes,3 hr,1 hr,No,C/C++,Coursera,I am not from  cs branch ,No ,No,Yes,Monthly,2 hours,At least two,1,Internet,Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Right now  am  learning ,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,1
2018/03/16 4:41:06 PM GMT+5:30,Bcom(H),No,Home(with parents),Yes,Don't even a single minute,I devote 0 minute to college study but devote 2-3 hour on research work & some time on my office work,No,I'm accountant not a programmer ,NPTEL & some tandon one,0 minute,No,No,No lab work is given to us,Weekly,Less than an hour,Most of the times only one,3,Internet,No,No,There is no such technical class in bcom,1,No,4,2 theory 2 lab,More practical less theory,No,Excerpts from the books or technical paper reading in classroom,Yes,I want to start my own business.,Any number of companies but at least one core company.,Yes,Just one lecture,No,School type learning,Yes,2
2018/03/16 4:44:04 PM GMT+5:30,B.Tech,Electrical and electronics,Hostel,No,1 hr,1 hr,No,none,unacademy,0 hrs,No,Yes,Yes,Weekly,More than 2 hours,Most of the times only one,5,Internet,Yes,No,No,3,Yes,5,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Member of Parliament,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,School type learning,Yes,2
2018/03/16 4:47:19 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,0 hr,3 hr,Yes,Java,Edx,1 hr,Yes,Yes,Yes,Ocassionally,Never,Most of the times only one,3,Internet,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,No,Tester/ Network Engineer,Any number of companies but at least one core company.,Yes,Just one lecture,No,All rounder,Yes,4
2018/03/16 4:49:56 PM GMT+5:30,B.Tech,Mechanical,Home(with relatives),No,1 hr,More than 3 hr,Yes,Java,Sanfoundary,2 hr,Yes,No,No,Weekly,Less than an hour,Two to four,3,Books at Home,Yes,No,Yes,4,Yes,4,2 theory 2 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,Yes,Aeromodelling Scientist,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,School type learning,Yes,2
2018/03/16 4:51:31 PM GMT+5:30,B.Tech,Mechanical,Hostel,Yes,Nowadays I spent no time in sports.,1 hr,No,No,Datacamp,I spent no time in improving my coding skills.,No,No,No,Ocassionally,2 hours,At least two,4,Books at Home,Yes,No,Yes,3,Yes,4,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Automobile engineer,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,Yes,3
2018/03/16 4:51:33 PM GMT+5:30,B.Tech,Ece,Hostel,No,0,More than 3 hr,Yes,C/C++,Udemy,2 hr,No,No,No,Ocassionally,Less than an hour,Most of the times only one,1,Internet,Yes,No,It depends on the teaching method is being used.,2,Yes,4,4 theory 1 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,2
2018/03/16 4:58:17 PM GMT+5:30,B.Tech,,Hostel,No,0,3 hr,No,No,Edx,0,No,No,No,Ocassionally,2 hours,At least two,3,Books at Home,Yes,Yes,No,1,Yes,5,1 theory 4 lab,Nothing but practical,No,Ppt +blackboard,Yes,Mechanical engg,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,2
2018/03/16 4:59:21 PM GMT+5:30,BBA,,Hostel,No,1 hr,1 hr,No,Not having any certified language,No,In BBA there's no need to study for coding,No,Yes,Yes,Ocassionally,Never,Most of the times only one,3,Notes of class,Yes,No,Yes,2,Yes,3,3 theory 2 lab,More practical less theory,Yes,Excerpts from the books or technical paper reading in classroom,Yes,CMA,Any number of companies but at least one core company.,No,Just one lecture,Yes,Passionate for placement,Yes,4
2018/03/16 5:04:55 PM GMT+5:30,B.Tech,CSE,Hostel,No,0,1 hr,Yes,no,Udemy,not everyday,not interested,No,No,Ocassionally,2 hours,Most of the times only one,3,Internet,No,No,No,2,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Excerpts from the books or technical paper reading in classroom,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,School type learning,Yes,2
2018/03/16 5:09:49 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,0 hr,1 hr,Yes,Java,None,1 hr,Yes,No,Yes,Weekly,Less than an hour,Most of the times only one,2,Internet,Yes,No,Yes,4,No,3,2 theory 2 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,No,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),No,'Placement' oriented academics it is.,Yes,3
2018/03/16 5:09:56 PM GMT+5:30,B.Tech,CSE,Hostel,No,2 hr,8hours in college,Yes,R,Datacamp,More than 3 hr,Yes,No,No,no,Never,Most of the times only one,5,Internet,No,No,No,1,Yes,3,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Developer of Internet of things products,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/16 5:10:42 PM GMT+5:30,B.Tech,Btech,Hostel,Yes,Sometimes,3 hr,Yes,No,Coursera,1 hr,Yes,No,At some extent,Weekly,During exams,Most of the times only one,2,Internet,Yes,No,Yes,3,Yes,3,3 theory 2 lab,Balanced theory and practical,Yes,Blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 5:16:12 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,2 hr,2 hr,No,no,no,less than 1 hour,Yes,Yes,No,Daily,2 hours,Most of the times only one,4,Internet,No,No,avg.,3,Yes,4,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,No," Indian Administrative Service (IAS),   Indian Foreign Service (IFS),   Indian Police Service",Any number of companies but at least one core company.,No,Just one lecture,No,Passionate for Learning,Yes,3
2018/03/16 5:16:20 PM GMT+5:30,B.Tech,M.E.,Hostel,Yes,2 hr,0,No,none,none,none,No,No,Yes,Ocassionally,2 hours,Most of the times only one,2,Books at Home,Yes,No,No,1,Yes,4,2 theory 3 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,Yes,not decided,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for admission,Yes,1
2018/03/16 5:23:00 PM GMT+5:30,B.Tech,,Hostel,Yes,1 hr,1 hr,Yes,Java,Sanfoundary,1 hr,Yes,Yes,Yes,Ocassionally,Never,Most of the times only one,1,Notes of class,No,No,No,1,Yes,1,3 theory 2 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,Yes,Passionate for placement,Yes,1
2018/03/16 5:41:21 PM GMT+5:30,B.Tech,Mechanical,Hostel,Yes,1 hr,1 hr,No,No,None,1 hr,No,Yes,Yes,Weekly,Less than an hour,Most of the times only one,1,Books at Home,No,No,Yes,3,Yes,4,2 theory 2 lab,Balanced theory and practical,No,Blackboard,No,Data Analyst/Scientist,Any number of companies but at least one core company.,No,At least 2 hours,No,Passionate for admission,No,2
2018/03/16 5:43:22 PM GMT+5:30,BBA,FB,Home(with parents),Yes,1 hr,3 hr,No,No ,Udemy,No,No,No,No,Ocassionally,Less than an hour,At least two,4,Internet,Yes,No,No,1,No,1,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,No,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,3
2018/03/16 5:45:06 PM GMT+5:30,B.Tech,C.S.E.,Hostel,Gyming,1 hr,1 hr,Yes,Java,Datacamp,-,No,Yes,Yes,Ocassionally,Never,Most of the times only one,2,Internet,Yes,No,No,2,Yes,3,4 theory 1 lab,Nothing but practical,No,Ppt,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,Passionate for placement,Yes,1
2018/03/16 5:49:41 PM GMT+5:30,B.Tech,Computer science,Hostel,No,none,sometimes one,No,C/C++,none,0,0,No,Yes,Ocassionally,Never,Most of the times only one,3,Books at Home,Yes,No,Yes,2,Yes,3,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,2
2018/03/16 5:50:56 PM GMT+5:30,B.Tech,Cse,Hostel,No,No,2 hr,Yes,C/C++,Udemy,1 hr,No,No,No,Weekly,2 hours,Most of the times only one,1,Notes of class,Yes,Yes,No,1,No,1,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,School type learning,Yes,1
2018/03/16 5:51:32 PM GMT+5:30,B.Tech,CSE,Hostel,No,Half hour,1 hr,Yes,C/C++,Udemy,Half hour,No,Yes,Yes,Ocassionally,Never,Most of the times only one,2,Internet,Yes,No,Yes,4,Yes,3,It depend on subjects,Balanced theory and practical,No,Blackboard,Yes,System/ Database Admin,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,School type learning,Yes,4
2018/03/16 5:52:57 PM GMT+5:30,B.Tech,cse,Hostel,only indoor game like call of duty and battlefield,More than 3 hr,1 hr,Yes,Python,Udemy,More than 3 hr,Yes,No,No,Weekly,Less than an hour,one book and internet ,4,Internet,Yes,No,Yes,4,No,1,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,System/ Database Admin,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,School type learning,No,2
2018/03/16 5:54:42 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,1 hr,1 hr,Yes,Java,Udemy,N/A,No,No,No,Weekly,Less than an hour,Most of the times only one,2,Internet,Yes,No,No,1,No,3,2 theory 3 lab,More practical less theory,Yes,Excerpts from the books or technical paper reading in classroom,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,2
2018/03/16 5:55:27 PM GMT+5:30,B.Tech,Me,Home(with parents),No,1 hr,More than 3 hr,No,No,Nptel,None,No,No,No,Daily,Less than an hour,At least two,1,Internet,Yes,No,No,1,Yes,3,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),Yes,Passionate for admission,Yes,1
2018/03/16 5:56:51 PM GMT+5:30,B.Tech,EC,Hostel,Yes,1 hr,2 hr,Yes,no,no,no,No,Yes,Yes,Weekly,Never,Most of the times only one,4,Notes of class,Yes,No,Yes,3,Yes,4,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,Tester/ Network Engineer,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 6:03:17 PM GMT+5:30,B.Tech,EC,Rented room,No,1 hr,2 hr,Yes,Php,Udemy,1 hr,Yes,No,No,Weekly,Less than an hour,At least two,2,Internet,Yes,No,Yes,4,Yes,4,2 theory 2 lab,More practical less theory,Yes,Blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/16 6:10:18 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,1 hr,3 hr,Yes,C/C++,Hakerrank,1 hr,No,No,No,Weekly,Never,At least two,3,Internet,No,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),Yes,Passionate for admission,Yes,3
2018/03/16 6:10:20 PM GMT+5:30,B.Tech,Mechanical engineering,Hostel,Yes,1 hr,3 hr,Yes,C/C++,Datacamp,1 hr,No,Yes,Yes,Weekly,More than 2 hours,At least two,3,Notes of class,Yes,No,No,3,No,2,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Mechanical engineer,Allowed to sit for at least 2 companies,Yes,Just one lecture,No,Passionate for placement,No,4
2018/03/16 6:12:06 PM GMT+5:30,B.Tech,Electrical engineering,Hostel,No,1 hr,More than 3 hr,Yes,No,Sanfoundary,1 hr,No,Yes,No,Ocassionally,No,At least two,1,Internet,Yes,No,Yes,5,Yes,5,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Scientist,Allowed to sit for at least 3 companies and 1 core company,No,No,Yes,Passionate for placement,Yes,2
2018/03/16 6:14:16 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,3 hr,3 hr,No,C/C++,Udemy,1 hr,No,No,No,Ocassionally,Less than an hour,Most of the times only one,3,Internet,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,1
2018/03/16 6:14:35 PM GMT+5:30,BCA,,Hostel,No,no time,1 hr,Yes,C/C++,Udemy,2 hr,No,No,No,Ocassionally,Never,Most of the times only one,4,Internet,Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 6:17:05 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,Zero because of lack of time.,More than 3 hr,Yes,C/C++,Udemy,1 hr,Yes,No,Yes,Daily,More than 2 hours,At least two,2,Books at Home,Yes,No,Yes,3,Yes,3,3 theory 2 lab,Balanced theory and practical,Yes,Blackboard,No,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/16 6:21:12 PM GMT+5:30,B.Tech,EC,Hostel,Yes,1 hr,2 hr,No,No,No,1 hr,No,Yes,Yes,Ocassionally,2 hours,Most of the times only one,4,Notes of class,Yes,No,Yes,3,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Blackboard,Yes,Tester/ Network Engineer,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,No,Passionate for placement,No,3
2018/03/16 6:23:26 PM GMT+5:30,B.Tech,ME,Hostel,Not intrested,None,1 hr,No,No,Not any one,0 min.,No,No,No,Room study prefred,0 min.,More than 2,2,Online,I thing so,Yes,No,1,No,1,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Mechanical engg.,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,Passionate for Learning,Yes,3
2018/03/16 6:25:21 PM GMT+5:30,B.Tech,Mechanical Engineering,Hostel,Yes,2 hr,3 hr,Yes,NA,Indiabix,1 hr,No,No,No,Ocassionally,2 hours,At least two,4,Internet,Yes,Yes,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,ME,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for admission,Yes,4
2018/03/16 6:27:49 PM GMT+5:30,B.Tech,cse,Hostel,No,1 hr,2 hr,Yes,C/C++,hacker rank,1 hr,No,Yes,No,Weekly,2 hours,At least two,2,Internet,Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 6:28:04 PM GMT+5:30,B.Tech,Ec,Hostel,Yes,Only when am free,2 hr,No,No,Datacamp,1 hr,No,Yes,No,Monthly,2 hours,Most of the times only one,2,Notes of class,Yes,No,Yes,3,Yes,3,3 theory 2 lab,Balanced theory and practical,No,Blackboard,Yes,System/ Database Admin,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,3
2018/03/16 6:28:48 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,1 hr,No,no,Sanfoundary,1 hr,No,Yes,No,Weekly,"during exam times only ,rest days I like to study in my room.",one book and internet,2,"notes of class , internet",Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,Yes,2
